character_id|series_id
182755|1190
4601|796
6971|796
4602|796
22031|796
4607|796
5972|579
5972|890
5972|759
5972|760
5972|124
5972|894
5972|895
5972|513
5972|857
5972|898
5972|177
14833|796
113011|53
113011|54
113011|55
19548|793
19548|1080
30779|910
165395|912
165395|913
165395|914
55947|800
55947|1242
93103|53
93103|54
93103|55
4609|796
4603|796
4603|803
4603|804
16704|796
21507|796
30268|53
30268|54
30268|55
99165|53
99165|54
99165|55
153537|876
153537|942
153537|943
153537|944
153537|1190
200898|876
200898|948
200898|1190
10535|378
10535|613
10535|531
104325|378
104325|613
104325|531
15713|959
128838|959
18441|959
2736|959
181984|800
29559|959
13249|959
92279|800
182269|800
41577|800
145|498
145|499
145|492
145|487
145|555
145|984
145|501
145|986
145|502
145|662
145|683
145|679
145|685
99169|53
99169|54
99169|55
94585|53
94585|54
94585|55
50955|890
50955|177
50887|890
50887|177
101451|53
101451|54
4611|796
105559|890
122471|53
122471|54
182470|1017
182470|1374
50915|890
50915|177
183711|454
183711|640
166093|454
166093|456
166093|640
211048|454
211048|640
183421|454
183421|456
183421|640
183368|454
183368|640
183542|454
183542|456
183542|640
47541|890
47541|177
42427|890
42427|177
90117|1050
90117|1417
1555|498
1555|499
1555|492
1555|487
1555|501
1555|502
1555|683
1555|679
6091|437
6091|468
17141|437
17141|468
143594|1438
143595|1438
93199|53
93199|54
93199|55
101599|53
101599|54
101599|55
81733|873
81733|1455
138401|54
50921|890
50921|177
127852|53
127852|54
137820|1469
50907|890
50907|177
4610|796
4610|803
4610|804
4610|797
4610|798
182278|800
49565|890
49565|177
33356|378
33356|1108
33356|531
168664|454
168664|640
183980|454
183980|456
183980|640
210425|454
210425|640
210426|454
210426|640
210781|454
210781|640
182282|800
114423|800
7096|796
95235|796
128504|1135
128504|1529
176750|871
203220|1140
128503|1135
128503|1529
156579|679
1358|1147
1358|1546
128895|1135
128895|1529
207778|679
150100|679
4694|498
4694|499
4694|662
4694|683
4694|679
148537|1135
148537|1529
139107|1135
139107|1529
158226|1140
158226|1170
52341|890
52341|177
226462|627
226245|627
203218|1140
226477|627
139105|1135
139105|1529
160303|679
55949|378
55949|613
55949|1108
122387|890
13454|499
13454|683
13454|679
127300|890
40309|890
16049|1202
16049|1202
32656|890
18473|499
18473|492
18473|487
18473|502
18473|683
18473|679
224367|679
51677|1202
51677|1202
51677|1218
7407|498
7407|499
7407|492
7407|487
7407|683
7407|679
7407|685
189227|1228
189227|1653
189227|1654
9877|890
9877|760
9877|124
9877|513
9877|177
18462|910
18462|1665
180766|1241
180766|1242
180766|1228
180766|1653
179176|1241
179176|1242
179176|1228
179176|1653
33379|378
33379|613
33379|1253
33379|531
53561|378
53561|613
53561|1108
53561|531
145702|378
145702|613
134625|1264
138741|1264
148755|1135
148755|1529
23474|499
23474|487
23474|683
23474|679
139106|1135
139106|1529
160144|1135
160144|1529
126471|1282
126471|1721
148616|1135
148616|1529
27138|1202
128166|1290
128166|1732
22514|1202
104435|378
104435|531
108087|378
108087|531
128164|1290
128164|1732
28298|1147
28298|1546
120079|1282
120079|1721
1357|1147
1357|1546
3167|1147
3167|1546
18030|890
18030|124
18030|513
18030|177
1362|1147
1362|1546
164979|1324
22883|910
22883|1665
190479|1242
190479|1228
190479|1653
38620|378
38620|613
38620|531
55275|890
55275|177
135217|679
128137|1290
128137|1732
129883|1290
129883|1732
87053|168
122167|1350
122167|1351
125058|1202
125058|1218
306|498
306|499
306|492
306|487
306|555
306|502
306|683
306|679
129062|1290
129062|1732
17600|1368
17600|1369
26213|1368
26213|1369
165393|912
165393|913
165393|914
17599|1368
17599|1369
17580|1368
17580|1369
22575|1202
182008|1386
182008|1387
182008|1859
17581|1368
17581|1369
17601|1368
17601|1369
182418|800
40257|1368
40257|1369
159447|1386
159447|1387
159447|1859
111627|378
111627|531
49161|1202
35247|1147
35247|1546
160099|1324
160101|1324
160100|1324
23871|1419
23871|1419
19464|1419
19464|1419
19464|1721
170997|1324
164737|1324
171076|1324
