id|first_name|last_name|anime_list|pictures|value
4159|Nina|Tucker|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/9/35396.jpg,https://cdn.myanimelist.net/images/characters/14/484166.jpg|273
77457|Berenice|Gabrielli|Bleach: Sennen Kessen-hen|https://cdn.myanimelist.net/images/characters/14/493388.jpg|15
3292|Lan Fan|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/16/58253.jpg,https://cdn.myanimelist.net/images/characters/9/59557.jpg,https://cdn.myanimelist.net/images/characters/8/68599.jpg,https://cdn.myanimelist.net/images/characters/3/79973.jpg,https://cdn.myanimelist.net/images/characters/13/80249.jpg,https://cdn.myanimelist.net/images/characters/4/81113.jpg,https://cdn.myanimelist.net/images/characters/10/91852.jpg,https://cdn.myanimelist.net/images/characters/8/98801.jpg|429
112213|Satella|LeCoulte|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/4/303014.jpg|10
10976|Dominic|LeCoulte|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/12/56210.jpg,https://cdn.myanimelist.net/images/characters/7/303013.jpg|15
650|Lust|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/14/24507.jpg,https://cdn.myanimelist.net/images/characters/6/61538.jpg,https://cdn.myanimelist.net/images/characters/11/69473.jpg,https://cdn.myanimelist.net/images/characters/5/76639.jpg,https://cdn.myanimelist.net/images/characters/10/80245.jpg,https://cdn.myanimelist.net/images/characters/3/80365.jpg,https://cdn.myanimelist.net/images/characters/13/81112.jpg|482
29798|Madame Christmas|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/8/77665.jpg,https://cdn.myanimelist.net/images/characters/7/79964.jpg|15
35595|Madame Shan|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/2/120052.jpg|10
10956|Tim|Marcoh|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/8/63841.jpg|80
8840|Martel|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/6/56216.jpg|115
10978|Mason|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/14/63844.jpg|39
23338|Shao|May|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/8/58046.jpg|347
21005|Isaac|McDougal|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/9/49149.jpg,https://cdn.myanimelist.net/images/characters/9/80247.jpg|20
15540|Miles|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/6/72473.jpg,https://cdn.myanimelist.net/images/characters/6/73227.jpg|265
68|Roy|Mustang|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/13/307466.jpg,https://cdn.myanimelist.net/images/characters/16/510226.jpg,https://cdn.myanimelist.net/images/characters/11/510227.jpg,https://cdn.myanimelist.net/images/characters/13/510228.jpg,https://cdn.myanimelist.net/images/characters/16/510229.jpg,https://cdn.myanimelist.net/images/characters/15/510230.jpg,https://cdn.myanimelist.net/images/characters/11/510232.jpg,https://cdn.myanimelist.net/images/characters/15/510233.jpg,https://cdn.myanimelist.net/images/characters/3/510234.jpg,https://cdn.myanimelist.net/images/characters/2/510235.jpg,https://cdn.myanimelist.net/images/characters/13/510236.jpg,https://cdn.myanimelist.net/images/characters/16/510362.jpg,https://cdn.myanimelist.net/images/characters/6/510363.jpg,https://cdn.myanimelist.net/images/characters/15/510367.jpg,https://cdn.myanimelist.net/images/characters/11/510368.jpg|812
41216|Neil|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/15/112283.jpg,https://cdn.myanimelist.net/images/characters/16/303015.jpg|15
10974|Paninya|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/15/55106.jpg|80
39241|Raven|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/6/120053.jpg|10
10958|Rick|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/11/40182.jpg,https://cdn.myanimelist.net/images/characters/8/63846.jpg|15
10966|Roa|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/2/56214.jpg|10
24923|Den|Rockbell|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/7/65388.jpg,https://cdn.myanimelist.net/images/characters/16/76638.jpg|195
63|Winry|Rockbell|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/5/26120.jpg,https://cdn.myanimelist.net/images/characters/4/35456.jpg,https://cdn.myanimelist.net/images/characters/2/39613.jpg,https://cdn.myanimelist.net/images/characters/2/39614.jpg,https://cdn.myanimelist.net/images/characters/6/77449.jpg,https://cdn.myanimelist.net/images/characters/3/77506.jpg,https://cdn.myanimelist.net/images/characters/16/78730.jpg,https://cdn.myanimelist.net/images/characters/15/84336.jpg|618
65|Pinako|Rockbell|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/7/63843.jpg,https://cdn.myanimelist.net/images/characters/6/81200.jpg|160
9319|Maria|Ross|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/13/54384.jpg,https://cdn.myanimelist.net/images/characters/7/59624.jpg,https://cdn.myanimelist.net/images/characters/10/63840.jpg,https://cdn.myanimelist.net/images/characters/7/84105.jpg|206
66|Scar|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/3/31591.jpg,https://cdn.myanimelist.net/images/characters/14/35397.jpg,https://cdn.myanimelist.net/images/characters/14/77654.jpg,https://cdn.myanimelist.net/images/characters/12/79966.jpg,https://cdn.myanimelist.net/images/characters/16/107943.jpg,https://cdn.myanimelist.net/images/characters/12/279889.jpg,https://cdn.myanimelist.net/images/characters/9/288131.jpg,https://cdn.myanimelist.net/images/characters/15/309658.jpg,https://cdn.myanimelist.net/images/characters/2/317558.jpg,https://cdn.myanimelist.net/images/characters/11/494716.jpg,https://cdn.myanimelist.net/images/characters/10/494717.jpg|557
25547|Scar's Brother|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/10/65389.jpg,https://cdn.myanimelist.net/images/characters/8/65642.jpg,https://cdn.myanimelist.net/images/characters/10/68326.jpg|69
10970|Scar's Master|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/10/81201.jpg|15
8452|Sheska|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/9/54925.jpg,https://cdn.myanimelist.net/images/characters/12/63842.jpg|244
10962|Slicer Brothers|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/9/54388.jpg|39
15543|Sloth|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/4/68099.jpg,https://cdn.myanimelist.net/images/characters/12/72474.jpg,https://cdn.myanimelist.net/images/characters/7/78855.jpg|230
5988|Rosé|Tomas|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/9/55093.jpg,https://cdn.myanimelist.net/images/characters/4/58420.jpg,https://cdn.myanimelist.net/images/characters/13/78727.jpg|155
33816|Truth|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/14/93929.jpg|387
3696|Shou|Tucker|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/14/52232.jpg|339
3293|Ling|Yao|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/14/58067.jpg,https://cdn.myanimelist.net/images/characters/15/62602.jpg,https://cdn.myanimelist.net/images/characters/12/76478.jpg,https://cdn.myanimelist.net/images/characters/16/76480.jpg,https://cdn.myanimelist.net/images/characters/13/79032.jpg,https://cdn.myanimelist.net/images/characters/11/80251.jpg,https://cdn.myanimelist.net/images/characters/13/80252.jpg|633
21907|Yoki|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/7/56212.jpg,https://cdn.myanimelist.net/images/characters/15/58047.jpg,https://cdn.myanimelist.net/images/characters/15/79563.jpg,https://cdn.myanimelist.net/images/characters/10/115479.jpg|90
15534|Zampano|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/6/75701.jpg,https://cdn.myanimelist.net/images/characters/10/96789.jpg|15
